source_user_id,target_user_id,src_idx,tgt_idx,interaction_type,interaction_type_enc,weight,timestamp
109876,108546,9875,8545,replies,2,0.492,2023-09-09
107662,105506,7661,5505,follows,0,0.984,2023-09-15
107031,100161,7030,160,follows,0,0.31,2023-09-06
102162,101967,2161,1966,retweets,3,0.818,2023-10-20
106343,105444,6342,5443,replies,2,0.863,2023-07-02
109552,106614,9551,6613,retweets,3,0.816,2023-08-14
109011,106309,9010,6308,mentions,1,0.237,2023-07-10
106144,101560,6143,1559,retweets,3,0.172,2023-05-19
100244,100891,243,890,follows,0,0.674,2023-05-26
106279,108179,6278,8178,retweets,3,0.79,2023-07-13
102617,103830,2616,3829,retweets,3,0.299,2023-12-03
104870,102426,4869,2425,retweets,3,0.761,2023-11-24
107231,107457,7230,7456,retweets,3,0.769,2023-09-03
105088,101597,5087,1596,replies,2,0.498,2023-04-24
101488,101856,1487,1855,retweets,3,0.218,2023-03-02
100889,102195,888,2194,retweets,3,0.505,2023-10-25
102848,100590,2847,589,retweets,3,0.762,2023-04-06
104795,102514,4794,2513,retweets,3,0.833,2023-07-01
102688,102678,2687,2677,follows,0,0.623,2023-02-27
104423,100577,4422,576,follows,0,0.758,2023-07-18
105436,101459,5435,1458,retweets,3,0.311,2023-08-20
103943,100992,3942,991,follows,0,0.651,2023-03-26
102620,104362,2619,4361,replies,2,0.597,2023-11-11
102708,103014,2707,3013,follows,0,0.236,2023-09-12
105120,103080,5119,3079,retweets,3,0.696,2023-07-25
100287,104430,286,4429,follows,0,0.628,2023-12-05
101613,103995,1612,3994,replies,2,0.224,2023-03-14
102426,106769,2425,6768,replies,2,0.686,2023-07-15
108696,105133,8695,5132,replies,2,0.274,2023-09-18
107426,105081,7425,5080,follows,0,0.877,2023-01-19
108709,107493,8708,7492,retweets,3,0.523,2023-09-15
108074,108957,8073,8956,retweets,3,0.745,2023-07-02
103083,103791,3082,3790,replies,2,0.71,2023-09-22
105457,101110,5456,1109,retweets,3,0.372,2023-05-12
107686,102625,7685,2624,retweets,3,0.899,2023-08-07
109173,101563,9172,1562,mentions,1,0.541,2023-10-30
105146,107645,5145,7644,follows,0,0.884,2023-04-29
106667,106047,6666,6046,follows,0,0.124,2023-10-26
109619,109964,9618,9963,retweets,3,0.712,2023-03-03
102859,101732,2858,1731,follows,0,0.151,2023-07-24
104450,100045,4449,44,follows,0,0.676,2023-03-30
104938,102449,4937,2448,retweets,3,0.77,2023-03-02
106775,105663,6774,5662,retweets,3,0.92,2023-07-23
105834,106933,5833,6932,follows,0,0.772,2023-10-29
109249,100362,9248,361,replies,2,0.371,2023-06-03
102279,104320,2278,4319,retweets,3,0.647,2023-06-17
108469,106969,8468,6968,retweets,3,0.523,2023-05-17
102064,102016,2063,2015,retweets,3,0.15,2023-03-21
106431,102521,6430,2520,follows,0,0.945,2023-10-29
103223,100170,3222,169,retweets,3,0.183,2023-12-02
101707,100405,1706,404,replies,2,0.249,2023-01-15
107503,104243,7502,4242,mentions,1,0.539,2023-05-24
109479,105319,9478,5318,retweets,3,0.653,2023-04-06
104226,100492,4225,491,follows,0,0.674,2023-06-04
105219,108698,5218,8697,retweets,3,0.322,2023-02-03
109903,109163,9902,9162,retweets,3,0.612,2023-10-24
108993,102558,8992,2557,follows,0,0.481,2023-09-01
103707,106814,3706,6813,follows,0,0.236,2023-09-08
108688,101087,8687,1086,replies,2,0.426,2023-09-28
106089,107685,6088,7684,retweets,3,0.858,2023-05-16
100435,101744,434,1743,replies,2,0.703,2023-07-06
101590,100867,1589,866,follows,0,0.351,2023-06-12
100928,100945,927,944,follows,0,0.49,2023-08-27
106389,101785,6388,1784,mentions,1,0.745,2023-01-17
100390,107481,389,7480,replies,2,0.411,2023-05-15
101735,101746,1734,1745,follows,0,0.328,2023-09-05
107812,108482,7811,8481,mentions,1,0.864,2023-01-02
106498,107957,6497,7956,retweets,3,0.814,2023-09-14
104287,100640,4286,639,replies,2,0.339,2023-08-30
107345,108120,7344,8119,follows,0,0.886,2023-10-13
105861,109217,5860,9216,mentions,1,0.625,2023-05-22
108353,107048,8352,7047,retweets,3,0.313,2023-12-09
102149,103378,2148,3377,retweets,3,0.532,2023-09-04
106560,107779,6559,7778,mentions,1,0.321,2023-02-11
104998,109300,4997,9299,retweets,3,0.406,2023-02-22
109968,106140,9967,6139,follows,0,0.439,2023-07-21
107004,109357,7003,9356,follows,0,0.072,2023-07-23
103848,101086,3847,1085,follows,0,0.175,2023-05-05
100300,100301,299,300,retweets,3,0.379,2023-07-31
103590,100410,3589,409,retweets,3,0.415,2023-09-21
102071,101705,2070,1704,follows,0,0.327,2023-02-15
102507,100205,2506,204,follows,0,0.813,2023-12-13
104412,104438,4411,4437,retweets,3,0.348,2023-12-19
104482,100248,4481,247,replies,2,0.291,2023-01-11
108512,107549,8511,7548,follows,0,0.75,2023-07-26
107464,106032,7463,6031,mentions,1,0.978,2023-10-06
106923,108139,6922,8138,retweets,3,0.774,2023-05-27
108826,108507,8825,8506,mentions,1,0.645,2023-07-14
103954,104972,3953,4971,follows,0,0.701,2023-07-25
100703,105424,702,5423,replies,2,0.493,2023-04-28
109983,109402,9982,9401,follows,0,0.149,2023-02-21
104189,101719,4188,1718,follows,0,0.741,2023-02-26
107248,108837,7247,8836,follows,0,0.923,2023-07-27
101734,104661,1733,4660,retweets,3,0.392,2023-02-25
109236,109681,9235,9680,retweets,3,0.797,2023-04-08
106426,107619,6425,7618,retweets,3,0.777,2023-04-04
103554,104296,3553,4295,follows,0,0.682,2023-11-13
101327,101287,1326,1286,replies,2,0.722,2023-11-16
101504,100784,1503,783,mentions,1,0.079,2023-05-29
103594,100979,3593,978,follows,0,0.688,2023-07-03
100168,102479,167,2478,retweets,3,0.332,2023-09-19
107309,107170,7308,7169,retweets,3,0.804,2023-04-06
104728,102110,4727,2109,follows,0,0.128,2023-06-19
106370,104954,6369,4953,retweets,3,0.956,2023-04-27
107543,107765,7542,7764,retweets,3,0.11,2023-04-20
104318,100904,4317,903,retweets,3,0.044,2023-09-24
109820,108288,9819,8287,replies,2,0.592,2023-12-22
101094,100277,1093,276,follows,0,0.414,2023-06-11
109534,106564,9533,6563,mentions,1,0.59,2023-07-08
104358,107706,4357,7705,follows,0,0.306,2023-09-16
109992,109665,9991,9664,retweets,3,0.669,2023-05-19
100708,100561,707,560,retweets,3,0.403,2023-05-03
107979,105157,7978,5156,mentions,1,0.789,2023-01-29
104037,103059,4036,3058,retweets,3,0.548,2023-10-14
101075,104438,1074,4437,retweets,3,0.262,2023-05-05
102113,103571,2112,3570,retweets,3,0.46,2023-02-17
109492,103482,9491,3481,follows,0,0.198,2023-04-27
100225,109979,224,9978,retweets,3,0.22,2023-10-29
107864,101792,7863,1791,mentions,1,0.266,2023-12-17
107228,107282,7227,7281,replies,2,0.859,2023-05-13
104763,100659,4762,658,follows,0,0.427,2023-07-10
107352,107578,7351,7577,replies,2,0.658,2023-03-02
106407,106826,6406,6825,follows,0,0.437,2023-11-21
109343,109879,9342,9878,retweets,3,0.422,2023-05-25
101375,104429,1374,4428,follows,0,0.637,2023-12-06
101185,102653,1184,2652,follows,0,0.227,2023-03-11
