user_id,node_idx,screen_name,account_type,label,created_at,location,account_age_days,followers_count,following_count,post_count,listed_count,verified,has_profile_image,has_description,default_profile,profile_completeness,posts_per_day,reply_ratio,retweet_ratio,mention_ratio,url_ratio,hashtag_ratio,duplicate_content_ratio
106253,6252,user_106253,bot,1,2023-03-03,"California, USA",304,3.0,4315.0,1479.0,2.0,0,0,0,1,0.1698,5.0,0.2397,0.8602,0.0526,0.839,0.1972,0.8067
104685,4684,user_104685,human,0,2020-10-11,"Toronto, Canada",1177,102.0,99.0,84.0,24.0,0,1,1,1,0.5291,4.4608,0.0933,0.2213,0.0554,0.1738,0.3302,0.0032
101732,1731,user_101732,human,0,2019-08-25,"Sydney, Australia",1590,87.0,4605.0,491.0,41.0,0,1,1,0,0.8951,5.5889,0.4229,0.4414,0.2078,0.1655,0.0173,0.1337
104743,4742,user_104743,human,0,2019-01-27,"Seoul, South Korea",1800,36.0,436.0,166.0,12.0,0,0,1,0,0.7602,2.1044,0.3324,0.0949,0.0152,0.5728,0.3728,0.0093
104522,4521,user_104522,human,0,2017-04-23,"Berlin, Germany",2444,6462.0,294.0,541.0,80.0,0,1,1,0,0.7531,0.1,0.117,0.3336,0.0294,0.1273,0.068,0.0373
106341,6340,user_106341,bot,1,2023-10-10,Unknown,83,16.0,650.0,9106.0,7.0,0,1,0,0,0.2167,32.4311,0.0451,0.2734,0.2668,0.6638,0.9095,0.8329
100577,576,user_100577,human,0,2018-09-08,"Dubai, UAE",1941,121.0,195.0,741.0,7.0,0,1,0,0,0.6982,5.2921,0.0746,0.3629,0.0287,0.2126,0.1906,0.0002
105203,5202,user_105203,bot,1,2023-05-19,"Sao Paulo, Brazil",227,4.0,2671.0,12676.0,49.0,0,0,0,0,0.1503,11.9774,0.0083,0.706,0.015,0.66,0.6868,0.9258
106364,6363,user_106364,bot,1,2023-12-31,"Berlin, Germany",1,5000.0,91.0,4256.0,0.0,0,0,0,1,0.1279,7.0111,0.1276,0.5562,0.0463,0.6579,0.8965,0.7334
100440,439,user_100440,human,0,2019-03-02,Unknown,1766,301.0,110.0,6744.0,40.0,0,1,0,0,0.7536,0.7177,0.3272,0.3108,0.1886,0.3472,0.0081,0.0424
102751,2750,user_102751,human,0,2016-03-10,"Berlin, Germany",2853,341.0,43.0,785.0,2.0,0,0,1,0,0.7358,1.916,0.1143,0.0861,0.0704,0.5009,0.0946,0.205
107488,7487,user_107488,bot,1,2023-01-29,Unknown,337,483.0,207.0,1011.0,4.0,0,1,0,1,0.316,27.1925,0.0351,0.701,0.0335,0.7439,0.5602,0.8703
105273,5272,user_105273,bot,1,2023-07-23,"Dubai, UAE",162,0.0,1899.0,1524.0,41.0,0,0,0,1,0.6635,85.4859,0.0652,0.2628,0.0025,0.8163,0.3791,0.407
105654,5653,user_105654,bot,1,2022-10-19,Unknown,439,15.0,162.0,39033.0,18.0,0,1,0,1,0.0585,58.0562,0.0189,0.7894,0.2597,0.807,0.717,0.9616
104000,3999,user_104000,human,0,2018-06-25,"Paris, France",2016,1098.0,278.0,585.0,25.0,0,1,1,0,0.7722,3.4688,0.1835,0.1687,0.1629,0.802,0.2125,0.0854
106034,6033,user_106034,bot,1,2023-12-31,"Toronto, Canada",1,121.0,9181.0,30.0,2.0,0,0,0,0,0.1601,64.9134,0.1683,0.6886,0.055,0.7688,0.9199,0.9126
100583,582,user_100583,human,0,2018-01-13,"Paris, France",2179,3886.0,136.0,776.0,10.0,0,1,1,0,0.7087,1.2687,0.2541,0.1139,0.2471,0.1586,0.0864,0.0014
