user_id,screen_name,account_type,label,created_at,account_age_days,followers_count,following_count,post_count,verified,posts_per_day,reply_ratio,retweet_ratio,mention_ratio,url_ratio,hashtag_ratio,duplicate_content_ratio,has_profile_image,has_description,default_profile,profile_completeness,location,listed_count
106253,user_106253,bot,1,2023-03-03,304,3,4315,1479,0,5.0,0.2397,0.8602,0.0526,0.839,0.1972,0.8067,0,0,1,0.1698,"California, USA",2.0
104685,user_104685,human,0,2020-10-11,1177,102,99,84,0,4.4608,0.0933,0.2213,0.0554,0.1738,0.3302,0.0032,1,1,1,0.5291,"Toronto, Canada",24.0
101732,user_101732,human,0,2019-08-25,1590,87,4605,491,0,5.5889,0.4229,0.4414,0.2078,0.1655,0.0173,0.1337,1,1,0,0.8951,"Sydney, Australia",41.0
104743,user_104743,human,0,2019-01-27,1800,36,436,166,0,2.1044,0.3324,0.0949,0.0152,0.5728,0.3728,0.0093,0,1,0,0.7602,"Seoul, South Korea",12.0
104522,user_104522,human,0,2017-04-23,2444,6462,294,541,0,0.1,0.117,0.3336,0.0294,0.1273,0.068,0.0373,1,1,0,0.7531,"Berlin, Germany",80.0
106341,user_106341,bot,1,2023-10-10,83,16,650,9106,0,32.4311,0.0451,0.2734,0.2668,0.6638,0.9095,0.8329,1,0,0,0.2167,,
100577,user_100577,human,0,2018-09-08,1941,121,195,741,0,5.2921,0.0746,0.3629,0.0287,0.2126,0.1906,0.0002,1,0,0,0.6982,"Dubai, UAE",
105203,user_105203,bot,1,2023-05-19,227,4,2671,12676,0,11.9774,0.0083,0.706,0.015,0.66,0.6868,0.9258,0,0,0,0.1503,"Sao Paulo, Brazil",49.0
106364,user_106364,bot,1,2023-12-31,1,5000,91,4256,0,7.0111,0.1276,0.5562,0.0463,0.6579,0.8965,0.7334,0,0,1,0.1279,"Berlin, Germany",0.0
100440,user_100440,human,0,2019-03-02,1766,301,110,6744,0,0.7177,0.3272,0.3108,0.1886,0.3472,0.0081,0.0424,1,0,0,0.7536,,40.0
102751,user_102751,human,0,2016-03-10,2853,341,43,785,0,1.916,0.1143,0.0861,0.0704,0.5009,0.0946,0.205,0,1,0,0.7358,"Berlin, Germany",2.0
107488,user_107488,bot,1,2023-01-29,337,483,207,1011,0,27.1925,0.0351,0.701,0.0335,0.7439,0.5602,0.8703,1,0,1,0.316,,4.0
105273,user_105273,bot,1,2023-07-23,162,0,1899,1524,0,85.4859,0.0652,0.2628,0.0025,0.8163,0.3791,0.407,0,0,1,0.6635,"Dubai, UAE",41.0
105654,user_105654,bot,1,2022-10-19,439,15,162,39033,0,58.0562,0.0189,0.7894,0.2597,0.807,0.717,0.9616,1,0,1,0.0585,,18.0
104000,user_104000,human,0,2018-06-25,2016,1098,278,585,0,3.4688,0.1835,0.1687,0.1629,0.802,0.2125,0.0854,1,1,0,0.7722,"Paris, France",25.0
106034,user_106034,bot,1,2023-12-31,1,121,9181,30,0,64.9134,0.1683,0.6886,0.055,0.7688,0.9199,0.9126,0,0,0,0.1601,"Toronto, Canada",2.0
100583,user_100583,human,0,2018-01-13,2179,3886,136,776,0,1.2687,0.2541,0.1139,0.2471,0.1586,0.0864,0.0014,1,1,0,0.7087,"Paris, France",10.0
109931,user_109931,suspicious,2,2021-12-05,757,891,868,3094,0,2.5636,0.0646,0.1825,0.0412,0.551,0.4413,0.718,1,0,0,0.2466,"Paris, France",1.0
107052,user_107052,bot,1,2023-08-14,140,571,16447,2659,0,27.1056,0.0059,0.9074,0.0276,0.5904,0.2079,0.8375,1,0,1,0.7797,"California, USA",37.0
108159,user_108159,bot,1,2023-06-28,187,702,394,1565,0,60.6168,0.0491,0.5714,0.0022,0.4829,0.5321,0.5375,1,1,1,0.0746,,74.0
109897,user_109897,suspicious,2,2022-03-18,654,19,3362,2098,0,14.0879,0.0743,0.6242,0.3727,0.5728,0.2836,0.5343,1,1,1,0.6504,"Seoul, South Korea",4.0
102250,user_102250,human,0,2017-07-24,2352,36,177,2808,0,1.083,0.109,0.1759,0.0249,0.3284,0.3348,0.0365,1,0,1,0.8694,"Berlin, Germany",0.0
104641,user_104641,human,0,2017-09-26,2288,25,2846,700,0,1.1252,0.3611,0.236,0.1695,0.1361,0.2534,0.0021,1,1,0,0.8168,,1.0
109486,user_109486,suspicious,2,2021-09-28,825,115,320,1576,0,12.4309,0.0226,0.6565,0.0186,0.3789,0.6396,0.4195,0,0,0,0.6867,,
104948,user_104948,human,0,2021-04-07,999,131,164,919,0,2.0469,0.2592,0.5793,0.0071,0.2956,0.0398,0.0037,1,1,0,0.5289,"Berlin, Germany",149.0
109921,user_109921,suspicious,2,2021-10-25,798,232,2006,1786,0,7.5608,0.034,0.4803,0.1217,0.8739,0.3129,0.4846,0,1,1,0.4355,"California, USA",4.0
101964,user_101964,human,0,2018-01-05,2187,197,74,345,0,0.8705,0.3876,0.2651,0.7219,0.1099,0.1169,0.0002,1,1,1,0.4203,,7.0
108244,user_108244,bot,1,2023-04-03,273,14,6551,1301,0,65.7453,0.0337,0.4976,0.0562,0.6961,0.8506,0.7626,0,0,1,0.2312,"Paris, France",18.0
106591,user_106591,bot,1,2023-12-31,1,44,267,3238,0,41.1432,0.0476,0.7675,0.0585,0.8011,0.6908,0.84,0,0,1,0.2661,,5.0
108848,user_108848,suspicious,2,2022-02-10,690,26,795,5117,0,30.186,0.1553,0.4863,0.0964,0.8061,0.8381,0.819,1,0,1,0.1348,"Tokyo, Japan",0.0
100322,user_100322,human,0,2018-02-04,2157,54,502,1081,0,4.0289,0.174,0.0584,0.4074,0.2192,0.0272,0.0012,1,1,0,0.8205,"Toronto, Canada",5.0
102679,user_102679,human,0,2018-12-01,1857,115,851,179,0,0.674,0.6108,0.1809,0.0917,0.2649,0.0093,0.2749,1,1,1,0.5892,"Tokyo, Japan",0.0
104626,user_104626,human,0,2017-01-01,2556,119,3617,1110,0,3.5147,0.1692,0.4325,0.081,0.3025,0.2358,0.0019,1,1,0,0.6715,"London, UK",
104950,user_104950,human,0,2018-05-12,2060,2323,202,915,0,3.3596,0.2358,0.0547,0.2051,0.5093,0.0837,0.0255,1,1,0,0.4359,"Sao Paulo, Brazil",31.0
108329,user_108329,bot,1,2023-11-06,56,2,137,104,0,27.7436,0.096,0.6566,0.009,0.4855,0.8732,0.8133,1,0,0,0.0661,"Mumbai, India",6.0
103338,user_103338,human,0,2019-04-27,1710,43,119,8627,0,2.885,0.3885,0.3647,0.14,0.2342,0.1084,0.027,1,1,0,0.6173,"London, UK",85.0
105590,user_105590,bot,1,2023-12-31,1,43,861,2324,0,62.6219,0.014,0.9454,0.0006,0.4961,0.7205,0.74,0,0,1,0.0254,"Dubai, UAE",3.0
100252,user_100252,human,0,2017-07-26,2350,147,806,1061,0,4.6013,0.2517,0.3269,0.0786,0.1631,0.108,0.0584,1,1,0,0.8361,"Toronto, Canada",
103974,user_103974,human,0,2018-12-06,1852,2423,113,323,0,3.4954,0.0852,0.1426,0.2915,0.1116,0.3495,0.0668,1,1,0,0.7948,"New York, USA",22.0
106631,user_106631,bot,1,2022-09-07,481,9,3174,14835,0,66.0242,0.1288,0.6889,0.0154,0.7551,0.6096,0.7181,0,0,1,0.1548,"London, UK",1.0
105548,user_105548,bot,1,2023-10-14,79,1421,1535,1391,0,21.685,0.1452,0.8265,0.0419,0.8511,0.5501,0.6303,0,0,1,0.486,"Seoul, South Korea",1.0
100036,user_100036,human,0,2021-01-29,1067,11986,135,3681,0,2.2441,0.4867,0.244,0.2815,0.6073,0.0469,0.2676,1,1,0,0.4368,"Seoul, South Korea",1.0
108363,user_108363,bot,1,2023-12-31,1,5,43,789,0,44.743,0.1227,0.4536,0.0514,0.6613,0.024,0.8578,0,0,1,0.1045,,10.0
101514,user_101514,human,0,2022-02-20,680,208,45,743,0,3.9145,0.6919,0.1092,0.2855,0.0231,0.1543,0.1809,1,1,0,0.484,,54.0
109318,user_109318,suspicious,2,2021-12-02,760,23,55,229,0,16.3852,0.2117,0.749,0.0319,0.4845,0.9267,0.8081,1,0,1,0.3594,,4.0
100040,user_100040,human,0,2018-10-01,1918,586,2651,680,0,0.1,0.2493,0.0534,0.0778,0.38,0.0428,0.0597,1,1,0,0.6356,"Toronto, Canada",2.0
104820,user_104820,human,0,2019-07-14,1632,1741,360,209,0,2.4622,0.3915,0.1707,0.1669,0.0994,0.1578,0.0108,1,1,0,0.8165,"London, UK",18.0
103466,user_103466,human,0,2021-04-09,997,186,1189,450,0,0.8052,0.3013,0.1353,0.0237,0.3364,0.2199,0.004,1,1,0,0.4572,"Paris, France",20.0
101761,user_101761,human,0,2016-05-19,2783,1129,265,275,0,2.8518,0.291,0.0309,0.051,0.2182,0.2172,0.0578,1,0,0,0.4142,"Tokyo, Japan",240.0
102305,user_102305,human,0,2015-10-18,2997,654,89,3155,0,0.1,0.2145,0.2291,0.0257,0.3402,0.0609,0.0334,1,1,0,0.6331,"California, USA",24.0
103724,user_103724,human,0,2022-01-03,728,533,3922,45,0,2.6167,0.3568,0.1822,0.1346,0.3786,0.0491,0.0002,1,1,0,0.9376,"Mumbai, India",12.0
108285,user_108285,bot,1,2022-01-27,704,11,30,3644,0,44.4471,0.0201,0.7135,0.0072,0.7808,0.7132,0.7986,0,0,1,0.3979,,2.0
104994,user_104994,human,0,2018-02-21,2140,34,326,2353,0,0.733,0.1531,0.0892,0.0824,0.023,0.1101,0.018,1,0,0,0.8875,"Tokyo, Japan",41.0
108128,user_108128,bot,1,2022-11-15,412,339,69,657,0,65.3486,0.128,0.8805,0.0229,0.8817,0.7018,0.8174,0,0,1,0.1169,,7.0
103033,user_103033,human,0,2018-04-30,2072,2743,298,2590,0,0.7694,0.4074,0.203,0.2382,0.1333,0.6912,0.0199,1,1,0,0.6924,,93.0
107939,user_107939,bot,1,2023-12-31,1,19,11598,3525,0,54.9268,0.1101,0.7682,0.125,0.6361,0.9015,0.73,1,0,0,0.5554,"Sao Paulo, Brazil",8.0
103040,user_103040,human,0,2019-05-31,1676,9711,1219,360,0,1.7336,0.3931,0.0715,0.4488,0.2731,0.0315,0.0461,1,1,0,0.8031,"Sao Paulo, Brazil",0.0
109656,user_109656,suspicious,2,2021-05-15,961,94,1195,1446,0,23.9648,0.3625,0.6981,0.0093,0.3209,0.6767,0.3607,0,0,1,0.2332,,323.0
102546,user_102546,human,0,2018-05-13,2059,668,98,124,0,1.6507,0.0555,0.5491,0.1868,0.022,0.6215,0.0755,0,0,0,0.7566,"Tokyo, Japan",2.0
102593,user_102593,human,0,2019-02-22,1774,106,91,999,0,4.7058,0.3129,0.0721,0.2287,0.1432,0.0141,0.0321,1,1,0,0.8044,,6.0
101189,user_101189,human,0,2018-03-03,2130,319,658,658,0,1.8543,0.5521,0.1446,0.1048,0.0067,0.0593,0.0652,0,1,0,0.7453,"Sydney, Australia",0.0
