screen_name,followers_count,following_count,post_count,account_age_days
click_here_deals,37,1437,2950,49
market_signal_bot,52,3516,185,10
amplify_now_5,31,3575,4284,79
retweet_army_3,3,2093,3479,66
subscribe_now_88,52,3025,2437,90
follow4follow_88,2,3480,1782,31
fast_cash_tips,29,3598,2620,43
crypto_pump_x9,36,1444,492,11
daily_giveaway77,2,1552,1049,30
like4like_zone,47,2214,628,19
amplify_now_4,20,2593,5227,107
trend_hijack_9,45,2901,2442,38
viral_trend_push,36,3598,330,10
echo_chamber_12,21,1822,6084,99
airdrop_claim_now,40,3769,1329,31
narrative_push_r,35,3547,5382,100
nft_drop_alerts,44,3920,973,63
insta_growth_hack,23,1599,1107,27
raid_squad_07,56,3938,1580,52
mass_dm_sender,5,1921,440,22
promo_bot_212,4,4563,363,9
echo_chamber_11,7,3296,409,12
deal_finder_9000,44,2468,4444,96
signal_group_x2,25,3450,1603,60
narrative_push_q,2,5140,2655,56
auto_retweet_hub,15,1571,453,11
bulk_engage_net,19,3494,4199,76
auto_reply_net,55,3233,1952,120
boost_ring_a3,28,2379,4250,96
quick_follow_bot,52,2963,1155,20
boost_ring_a1,49,2199,1503,92
token_launch_hype,53,1583,682,11
spam_link_relay,26,1790,1626,40
link_flood_relay,56,2758,5648,90
boost_ring_a2,33,3227,2393,41
giveaway_winner1,19,2217,2651,49
trend_boost_ai,6,3582,1099,26
engagement_farm_x,22,1888,2751,62
free_followers_now,60,1817,1448,44
news_alert_247,43,3377,2287,66
